Change Date,Old,New,New Company Name
2021-06-30,IACA,TBLA,Taboolacom Ltd.
2021-07-01,DTM.W,DTM,Dt Midstream Inc
2021-07-01,RACA,PNT,Point Biopharma Global Inc
2021-07-01,HOL,ASTR,Astra Space Inc
2021-07-02,APXT,AVPT,Avepoint Inc
2021-07-02,LACQ,ENSC,Ensysce Biosciences Inc
2021-07-02,CLII,EVGO,Evgo Inc
2021-07-02,CPTA,LRFC,Logan Ridge Finance Corp
2021-07-02,FCAC,SHCR,Sharecare Inc
2021-07-06,WPF,ALIT,Alight Inc
2021-07-08,ALUS,FREY,Freyr Battery
2021-07-09,MKGI,NXTP,Nextplay Technologies Inc
2021-07-12,GIWWU,GIW,Giginternational1 Inc
2021-07-12,SPRQ,SUNL,Sunlight Financial Holdings Inc
2021-07-14,IDTY,AUID,Authid Inc
2021-07-14,ASPL,UP,Wheels Up Experience Inc
2021-07-15,RSVA,ENVX,Enovix Corp
2021-07-15,LCY,HLMN,Hillman Solutions Corp
2021-07-15,AONE,MKFG,Markforged Holding Corp
2021-07-16,SBG,OWLT,Owlet Inc
2021-07-16,ARTAU,PRE,Prenetics Global Ltd.
2021-07-19,GXGX,CELU,Celularity Inc
2021-07-19,NHIC,EVLV,Evolv Technologies Holdings Inc
2021-07-19,EMPW,HLLY,Holley Inc
2021-07-19,DCRB,HYZN,Hyzon Motors Inc
2021-07-21,ISNS,AATC,Autoscope Technologies Corp
2021-07-21,FGNA,OPFI,Oppfi Inc
2021-07-21,ANDA,SNAX,Stryve Foods Inc
2021-07-22,RAAC,BGRY,Berkshire Grey Inc
2021-07-22,PSAC,FFIE,Faraday Future Intelligent Electric Inc
2021-07-22,ACND,MKTW,Marketwise Inc
2021-07-23,CMLF,SMFR,Sema4 Holdings Corp
2021-07-23,GHVI,MTTR,Matterport Inc
2021-07-23,VCVC,REE,Ree Automotive Ltd.
2021-07-26,EARS,CYTO,Altamira Therapeutics Ltd.
2021-07-26,CCIV,LCID,Lucid Group Inc
2021-07-26,THCB,MVST,Microvast Holdings Inc
2021-07-28,MTSL,SBET,Sharplink Gaming Ltd.
2021-07-29,CAP,DOMA,Doma Holdings Inc
2021-07-29,ROCC,RSVR,Reservoir Media Inc
2021-07-30,SVAC,CYXT,Cyxtera Technologies Inc
2021-08-02,NEBC,ROVR,Rover Group Inc
2021-08-02,DGNR,CCCS,Ccc Intelligent Solutions Holdings Inc
2021-08-03,RTPZ,HIPO,Hippo Holdings Inc
2021-08-03,MDCA,STGW,Stagwell Inc
2021-08-03,LB,BBWI,Bath & Body Works Inc
2021-08-03,PQG,ECVT,Ecovyst Inc
2021-08-04,NTEC,INDP,Indaptus Therapeutics Inc
2021-08-04,CLAQU,KITT,Nauticus Robotics Inc
2021-08-04,PWVI,SCWO,374water Inc
2021-08-05,GRSV,AMBP,Ardagh Metal Packaging SA
2021-08-05,OCBI,OBT,Orange County Bancorp Inc
2021-08-06,GPCOU,HOLO,Microcloud Hologram Inc
2021-08-10,SPKE,VIA,Via Renewables Inc
2021-08-11,RTP,JOBY,Joby Aviation Inc
2021-08-11,PDAC,LICY,Li-cycle Holdings Corp
2021-08-11,BCTG,TNGX,Tango Therapeutics Inc
2021-08-12,SCPE,RKLY,Rockley Photonics Holdings Ltd.
2021-08-12,CHFW,SRZN,Surrozen Inc
2021-08-13,SRAC,MNTS,Momentus Inc
2021-08-13,ETH,ETD,Ethan Allen Interiors Inc
2021-08-16,GRNV,HLBZ,Helbiz Inc
2021-08-16,NBA,MIMO,Airspan Networks Holdings Inc
2021-08-16,SAII,OTMO,Otonomo Technologies Ltd.
2021-08-17,NSH,SPIR,Spire Global Inc
2021-08-18,CFAC,LIDR,Aeye Inc
2021-08-20,NLITU,SHFS,Shf Holdings Inc
2021-08-20,NGAC,XOS,Xos Inc
2021-08-24,LIVK,AGIL,Agilethought Inc
2021-08-24,CNTQU,DFLI,Dragonfly Energy Holdings Corp
2021-08-24,RMGB,RNW,Renew Energy Global PLC
2021-08-25,VACQ,RKLB,Rocket Lab Usa Inc
2021-08-25,FWAA,SMRT,Smartrent Inc
2021-08-26,LWAC,EFTR,Effector Therapeutics Inc
2021-08-26,CERC,AVTX,Avalo Therapeutics Inc
2021-08-27,ARPO,AADI,Aadi Bioscience Inc
2021-08-27,AJAX,CZOO,Cazoo Group Ltd.
2021-08-27,KSMT,GDEV,Nexters Inc
2021-08-27,AHAC,HUMA,Humacyte Inc
2021-08-27,DFNS,IRNT,Ironnet Inc
2021-08-27,SNPR,VLTA,Volta Inc
2021-08-30,GWAC,CIFR,Cipher Mining Inc
2021-08-31,TWCT,CLBT,Cellebrite Di Ltd.
